score_threshold,atr_multiplier_stop,atr_multiplier_target,max_hold_bars,sharpe_ratio,total_return,max_drawdown,win_rate,profit_factor,num_trades,consistency_score
0.7,0.75,1.25,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,0.5,1.5,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,1.0,1.0,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,1.0,1.25,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,1.0,0.75,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,1.0,1.5,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,1.25,0.75,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,0.75,1.5,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,1.25,1.0,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,1.25,1.25,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,1.25,1.5,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,0.75,1.0,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,0.5,0.75,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,0.75,0.75,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,0.5,1.0,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,0.5,1.25,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,0.5,1.5,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,1.0,0.75,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,0.5,1.25,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,0.75,0.75,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,0.75,1.0,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,0.5,1.0,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,0.75,1.25,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,0.5,0.75,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,0.75,1.5,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,1.0,0.75,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,1.25,1.5,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,1.0,1.0,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,1.25,1.25,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,1.0,1.25,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,1.0,1.5,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,1.25,1.0,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,1.0,1.0,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,1.25,0.75,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,1.0,1.25,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,1.0,1.5,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,0.5,0.75,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,1.25,1.5,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,0.5,1.0,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,1.25,1.25,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,0.5,1.25,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,0.5,1.5,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,1.25,1.0,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.7,1.25,0.75,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,0.75,1.0,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,0.75,1.25,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,0.75,0.75,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.5,0.75,1.5,40,0.39545017266004523,4.64,5.302496121844592,48.0,1.4185331576635924,25,35.00639807566242
0.6,0.75,1.5,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,0.5,1.5,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,0.5,1.25,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,0.75,0.75,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,0.5,1.0,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,1.25,1.0,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,0.75,1.0,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,0.5,1.25,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,0.75,1.25,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,0.5,0.75,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,0.75,1.5,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,1.0,1.0,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,1.0,1.5,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,0.5,1.25,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,1.25,1.25,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,1.0,0.75,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,0.5,1.0,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,1.0,1.25,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,1.0,1.0,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,1.25,1.25,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,1.0,1.0,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,1.0,1.25,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,1.25,1.0,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,0.5,0.75,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,1.0,1.5,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,1.25,1.5,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,0.5,1.5,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,1.0,0.75,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,1.0,1.25,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,0.75,1.5,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,0.75,1.25,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,1.25,0.75,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,1.0,1.5,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,1.25,1.0,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,0.75,1.25,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,1.25,0.75,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,1.25,1.25,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,0.75,1.0,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,1.25,1.5,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,1.0,0.75,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,0.75,1.0,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,1.25,1.5,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,0.5,1.0,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,0.5,0.75,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,0.75,0.75,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,1.25,0.75,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.7,0.5,1.5,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.5,0.75,0.75,50,0.17640561947304656,1.9300000000000002,4.127182644667853,50.0,1.2141350210970465,20,39.33508297017444
0.6,1.25,1.0,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,1.0,1.25,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,0.5,1.5,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,0.75,0.75,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,1.25,1.25,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,1.0,1.5,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,0.75,1.5,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,1.25,1.5,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,0.5,1.0,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,1.0,0.75,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,1.25,1.25,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,1.25,1.5,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,1.25,0.75,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,0.5,1.25,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,0.75,1.25,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,0.5,0.75,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,1.25,1.0,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,0.75,1.0,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.7,1.0,1.0,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,0.5,0.75,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,1.0,0.75,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,1.0,0.75,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,0.75,1.0,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,0.75,1.25,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,0.5,1.5,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,0.75,1.5,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,0.5,1.25,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,0.5,1.0,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,0.5,0.75,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,0.75,1.25,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,1.25,1.5,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,1.0,1.0,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,1.25,1.25,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,1.0,1.25,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,1.25,1.0,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,1.25,0.75,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,0.75,1.0,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,0.75,0.75,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,1.0,1.5,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,0.5,1.25,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,0.75,1.5,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,1.25,0.75,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,0.5,1.0,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,0.75,0.75,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,1.0,1.5,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,0.5,1.5,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,1.0,1.0,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.6,1.0,1.25,20,0.0014583637709240206,-0.19,7.637613598907567,47.72727272727273,1.0018993352326686,44,28.957690362528897
0.5,1.0,1.25,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,1.0,1.0,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,1.25,1.5,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,1.0,1.0,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,0.5,1.0,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,1.0,1.25,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,0.75,0.75,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,1.0,0.75,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,1.25,1.0,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,0.75,1.5,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,1.0,1.5,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,1.25,1.25,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,0.5,1.5,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,0.75,1.25,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,1.0,1.5,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,1.25,0.75,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,0.75,1.0,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,0.5,1.25,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,1.25,0.75,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,1.0,0.75,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,0.5,1.25,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,1.0,1.5,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,1.25,1.25,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,1.0,1.25,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,1.0,1.0,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,1.25,1.5,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,1.0,0.75,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,0.5,0.75,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,0.5,0.75,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,0.75,1.5,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,0.75,1.25,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,0.5,1.0,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,0.75,1.0,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,0.75,0.75,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,1.25,0.75,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,0.5,1.5,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,0.5,1.5,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,0.5,1.25,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,0.75,0.75,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,0.5,1.0,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,0.5,0.75,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,0.75,1.0,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,1.25,1.5,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,0.75,1.25,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.6,1.25,1.0,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,1.25,1.0,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.7,0.75,1.5,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
0.5,1.25,1.25,30,-0.44136733421330454,-5.6899999999999995,9.071781572637864,41.935483870967744,0.6490171211160431,31,41.912944974582665
